agent,pinf,pmd,pad,popi,prd,state,susceptible
convai_agent_411,0.15,0.05,0.1,0.25,0.4,neutral,false
convai_agent_412,0.075,0.1,0.05,0.15,0.2,neutral,false
convai_agent_413,0.05,0.1,0.05,0.2,0.4,neutral,false
convai_agent_414,0.15,0.05,0.05,0.15,0.2,neutral,false
convai_agent_415,0.1,0.05,0.05,0.1,0.2,neutral,false
convai_agent_416,0.05,0.075,0.075,0.1,0.3,neutral,false
convai_agent_417,0.05,0.05,0.1,0.15,0.3,neutral,true
convai_agent_418,0.075,0.075,0.05,0.25,0.4,neutral,false
convai_agent_419,0.05,0.05,0.05,0.1,0.1,neutral,false
convai_agent_420,0.15,0.1,0.1,0.2,0.3,neutral,false
convai_agent_421,0.15,0.1,0.15,0.1,0.4,neutral,false
convai_agent_422,0.1,0.05,0.05,0.15,0.1,neutral,false
convai_agent_423,0.1,0.1,0.15,0.2,0.3,neutral,false
convai_agent_424,0.15,0.05,0.1,0.25,0.1,neutral,false
convai_agent_425,0.05,0.075,0.075,0.1,0.4,neutral,false
convai_agent_426,0.1,0.1,0.1,0.2,0.2,neutral,false
convai_agent_427,0.1,0.1,0.1,0.1,0.1,neutral,false
convai_agent_428,0.05,0.1,0.05,0.25,0.4,neutral,true
convai_agent_429,0.1,0.1,0.05,0.2,0.2,neutral,false
convai_agent_430,0.075,0.1,0.05,0.1,0.4,neutral,false
convai_agent_431,0.05,0.1,0.05,0.25,0.3,neutral,false
convai_agent_432,0.075,0.075,0.05,0.1,0.2,neutral,true
convai_agent_433,0.1,0.1,0.1,0.15,0.4,neutral,false
convai_agent_434,0.15,0.05,0.05,0.25,0.3,neutral,false
convai_agent_435,0.05,0.1,0.05,0.15,0.4,neutral,false
convai_agent_436,0.075,0.1,0.075,0.2,0.4,neutral,true
convai_agent_437,0.05,0.1,0.05,0.1,0.2,neutral,false
convai_agent_438,0.1,0.05,0.05,0.1,0.3,neutral,false
convai_agent_439,0.15,0.05,0.1,0.15,0.4,neutral,false
convai_agent_440,0.15,0.05,0.05,0.1,0.3,neutral,false
convai_agent_441,0.05,0.1,0.15,0.2,0.2,neutral,false
convai_agent_442,0.1,0.1,0.05,0.2,0.3,neutral,true
convai_agent_443,0.15,0.05,0.05,0.25,0.4,neutral,false
convai_agent_444,0.15,0.1,0.15,0.2,0.1,neutral,false
convai_agent_445,0.05,0.05,0.05,0.1,0.1,neutral,false
convai_agent_446,0.1,0.1,0.05,0.2,0.4,neutral,false
convai_agent_447,0.1,0.1,0.05,0.1,0.3,neutral,true
convai_agent_448,0.05,0.075,0.05,0.2,0.4,neutral,true
convai_agent_449,0.15,0.05,0.1,0.25,0.1,neutral,false
convai_agent_450,0.1,0.1,0.1,0.15,0.1,neutral,false
convai_agent_451,0.15,0.05,0.15,0.25,0.3,neutral,false
convai_agent_452,0.15,0.05,0.15,0.1,0.3,neutral,false
convai_agent_453,0.15,0.05,0.15,0.1,0.3,neutral,false
convai_agent_454,0.1,0.05,0.05,0.25,0.2,neutral,false
convai_agent_455,0.15,0.1,0.1,0.15,0.2,neutral,false
convai_agent_456,0.15,0.1,0.05,0.1,0.3,neutral,false
convai_agent_457,0.05,0.1,0.15,0.15,0.3,neutral,false
convai_agent_458,0.05,0.05,0.15,0.2,0.4,neutral,false
convai_agent_459,0.1,0.1,0.05,0.1,0.2,neutral,false
convai_agent_460,0.15,0.1,0.1,0.15,0.4,neutral,false
convai_agent_461,0.1,0.1,0.1,0.2,0.4,neutral,false
convai_agent_462,0.05,0.05,0.15,0.25,0.4,neutral,false
convai_agent_463,0.1,0.05,0.1,0.2,0.1,neutral,true
convai_agent_464,0.05,0.1,0.05,0.25,0.3,neutral,false
convai_agent_465,0.1,0.05,0.1,0.1,0.4,neutral,false
convai_agent_466,0.1,0.05,0.05,0.15,0.2,neutral,true
convai_agent_467,0.05,0.1,0.05,0.2,0.4,neutral,false
convai_agent_468,0.05,0.05,0.05,0.25,0.1,neutral,false
convai_agent_469,0.05,0.05,0.1,0.15,0.4,neutral,false
convai_agent_470,0.1,0.05,0.1,0.25,0.2,neutral,true
convai_agent_471,0.15,0.1,0.05,0.1,0.4,neutral,false
convai_agent_472,0.05,0.05,0.15,0.15,0.2,neutral,false
convai_agent_473,0.15,0.05,0.15,0.2,0.2,neutral,false
convai_agent_474,0.075,0.075,0.05,0.15,0.1,neutral,false
convai_agent_475,0.1,0.05,0.05,0.1,0.4,neutral,false
convai_agent_476,0.15,0.05,0.05,0.15,0.1,neutral,false
convai_agent_477,0.15,0.1,0.05,0.25,0.2,neutral,false
convai_agent_478,0.15,0.05,0.05,0.25,0.1,neutral,false
convai_agent_479,0.1,0.05,0.1,0.25,0.1,neutral,false
convai_agent_480,0.05,0.1,0.1,0.2,0.4,neutral,true
convai_agent_481,0.05,0.05,0.05,0.1,0.3,neutral,false
convai_agent_482,0.05,0.1,0.05,0.15,0.3,neutral,false
convai_agent_483,0.15,0.05,0.1,0.2,0.2,neutral,false
convai_agent_484,0.05,0.075,0.05,0.1,0.1,neutral,false
convai_agent_485,0.05,0.1,0.075,0.2,0.3,neutral,true
convai_agent_486,0.15,0.1,0.1,0.2,0.2,neutral,false
convai_agent_487,0.15,0.05,0.15,0.25,0.2,neutral,false
convai_agent_488,0.05,0.05,0.1,0.2,0.2,neutral,false
convai_agent_489,0.15,0.1,0.15,0.25,0.2,neutral,true
convai_agent_490,0.05,0.075,0.05,0.25,0.4,neutral,false
convai_agent_491,0.05,0.1,0.05,0.25,0.3,neutral,false
convai_agent_492,0.15,0.05,0.15,0.2,0.2,neutral,true
convai_agent_493,0.05,0.1,0.1,0.15,0.1,neutral,false
convai_agent_494,0.15,0.05,0.15,0.25,0.2,neutral,false
convai_agent_495,0.075,0.1,0.05,0.25,0.4,neutral,false
convai_agent_496,0.15,0.1,0.15,0.25,0.3,neutral,true
convai_agent_497,0.1,0.1,0.1,0.1,0.3,neutral,false
convai_agent_498,0.15,0.05,0.15,0.1,0.3,neutral,false
convai_agent_499,0.15,0.1,0.1,0.1,0.3,neutral,false
convai_agent_500,0.15,0.05,0.1,0.2,0.3,neutral,true
convai_agent_501,0.15,0.1,0.15,0.2,0.1,neutral,false
convai_agent_502,0.15,0.05,0.15,0.15,0.1,neutral,false
convai_agent_503,0.05,0.1,0.15,0.1,0.2,neutral,false
convai_agent_504,0.15,0.1,0.05,0.1,0.4,neutral,false
convai_agent_505,0.15,0.05,0.15,0.15,0.3,neutral,false
convai_agent_506,0.1,0.05,0.15,0.15,0.1,neutral,false
convai_agent_507,0.1,0.05,0.1,0.25,0.3,neutral,false
convai_agent_508,0.1,0.05,0.15,0.25,0.2,neutral,true
convai_agent_509,0.075,0.1,0.05,0.2,0.3,neutral,false
convai_agent_510,0.15,0.1,0.05,0.2,0.1,neutral,false
convai_agent_511,0.05,0.075,0.05,0.2,0.3,neutral,false
convai_agent_512,0.1,0.05,0.15,0.25,0.1,neutral,true
convai_agent_513,0.15,0.05,0.15,0.1,0.2,neutral,false
convai_agent_514,0.05,0.05,0.15,0.15,0.4,neutral,true
convai_agent_515,0.1,0.1,0.05,0.1,0.3,neutral,false
convai_agent_516,0.05,0.075,0.05,0.2,0.1,neutral,false
convai_agent_517,0.1,0.05,0.15,0.2,0.4,neutral,false
convai_agent_518,0.1,0.1,0.1,0.2,0.4,neutral,false
convai_agent_519,0.1,0.1,0.1,0.1,0.4,neutral,false
convai_agent_520,0.15,0.1,0.15,0.15,0.1,neutral,false
convai_agent_521,0.05,0.05,0.15,0.2,0.2,neutral,true
convai_agent_522,0.05,0.1,0.05,0.15,0.3,neutral,false
convai_agent_523,0.05,0.1,0.1,0.25,0.2,neutral,false
convai_agent_524,0.1,0.05,0.1,0.15,0.3,neutral,true
convai_agent_525,0.15,0.05,0.05,0.15,0.1,neutral,false
convai_agent_526,0.05,0.1,0.05,0.25,0.3,neutral,false
convai_agent_527,0.1,0.05,0.05,0.25,0.2,neutral,false
convai_agent_528,0.05,0.075,0.075,0.1,0.1,neutral,false
convai_agent_529,0.15,0.05,0.1,0.15,0.1,neutral,false
convai_agent_530,0.075,0.075,0.05,0.1,0.1,neutral,false
convai_agent_531,0.05,0.1,0.05,0.2,0.2,neutral,false
convai_agent_532,0.15,0.1,0.15,0.15,0.2,neutral,false
convai_agent_533,0.15,0.05,0.15,0.25,0.3,neutral,true
convai_agent_534,0.15,0.05,0.1,0.15,0.1,neutral,false
convai_agent_535,0.05,0.05,0.1,0.25,0.4,neutral,false
convai_agent_536,0.05,0.075,0.05,0.2,0.2,neutral,false
convai_agent_537,0.075,0.075,0.05,0.15,0.4,neutral,false
convai_agent_538,0.15,0.05,0.05,0.15,0.4,neutral,false
convai_agent_539,0.05,0.05,0.05,0.2,0.3,neutral,false
convai_agent_540,0.15,0.05,0.05,0.1,0.3,neutral,false
convai_agent_541,0.15,0.1,0.05,0.15,0.1,neutral,false
convai_agent_542,0.05,0.05,0.05,0.1,0.4,neutral,true
convai_agent_543,0.1,0.1,0.15,0.15,0.1,neutral,false
convai_agent_544,0.1,0.1,0.05,0.2,0.1,neutral,false
convai_agent_545,0.15,0.05,0.05,0.15,0.4,neutral,false
convai_agent_546,0.075,0.075,0.05,0.15,0.3,neutral,false
convai_agent_547,0.075,0.1,0.075,0.1,0.4,neutral,false
convai_agent_548,0.15,0.1,0.15,0.15,0.4,neutral,false
convai_agent_549,0.1,0.05,0.1,0.1,0.1,neutral,false
convai_agent_550,0.075,0.1,0.05,0.2,0.2,neutral,false
convai_agent_551,0.1,0.05,0.1,0.1,0.1,neutral,false
convai_agent_552,0.1,0.05,0.15,0.2,0.4,neutral,false
convai_agent_553,0.15,0.05,0.1,0.25,0.4,neutral,false
convai_agent_554,0.15,0.1,0.05,0.2,0.1,neutral,false
convai_agent_555,0.05,0.075,0.05,0.25,0.3,neutral,false
convai_agent_556,0.075,0.075,0.05,0.15,0.4,neutral,false
convai_agent_557,0.1,0.1,0.1,0.25,0.1,neutral,false
convai_agent_558,0.15,0.05,0.05,0.25,0.4,neutral,false
convai_agent_559,0.05,0.1,0.15,0.15,0.1,neutral,false
convai_agent_560,0.075,0.075,0.075,0.25,0.4,neutral,false
convai_agent_561,0.05,0.1,0.1,0.1,0.2,neutral,true
convai_agent_562,0.15,0.1,0.15,0.1,0.2,neutral,false
convai_agent_563,0.05,0.075,0.05,0.25,0.2,neutral,false
convai_agent_564,0.15,0.05,0.05,0.2,0.2,neutral,true
convai_agent_565,0.05,0.075,0.05,0.25,0.2,neutral,false
convai_agent_566,0.05,0.05,0.15,0.2,0.3,neutral,false
convai_agent_567,0.15,0.05,0.1,0.2,0.4,neutral,false
convai_agent_568,0.05,0.1,0.1,0.15,0.2,neutral,true
convai_agent_569,0.15,0.05,0.15,0.25,0.1,neutral,false
convai_agent_570,0.05,0.1,0.15,0.25,0.2,neutral,false
convai_agent_571,0.05,0.05,0.1,0.2,0.2,neutral,false
convai_agent_572,0.05,0.075,0.075,0.15,0.2,neutral,false
convai_agent_573,0.15,0.05,0.05,0.1,0.3,neutral,true
convai_agent_574,0.05,0.1,0.05,0.15,0.4,neutral,false
convai_agent_575,0.1,0.05,0.05,0.25,0.1,neutral,false
convai_agent_576,0.15,0.05,0.15,0.2,0.1,neutral,false
convai_agent_577,0.1,0.1,0.1,0.15,0.4,neutral,false
convai_agent_578,0.05,0.1,0.05,0.25,0.1,neutral,false
convai_agent_579,0.15,0.05,0.05,0.1,0.3,neutral,false
convai_agent_580,0.1,0.05,0.15,0.25,0.3,neutral,false
convai_agent_581,0.15,0.05,0.1,0.15,0.4,neutral,false
convai_agent_582,0.1,0.05,0.15,0.1,0.2,neutral,false
convai_agent_583,0.05,0.05,0.15,0.2,0.2,neutral,false
convai_agent_584,0.15,0.1,0.05,0.1,0.1,neutral,false
convai_agent_585,0.05,0.075,0.05,0.2,0.2,neutral,false
convai_agent_586,0.15,0.1,0.15,0.15,0.1,neutral,false
convai_agent_587,0.05,0.05,0.1,0.2,0.3,neutral,false
convai_agent_588,0.05,0.1,0.075,0.1,0.4,neutral,false
convai_agent_589,0.1,0.05,0.1,0.1,0.3,neutral,false
convai_agent_590,0.05,0.075,0.075,0.1,0.4,neutral,false
convai_agent_591,0.05,0.05,0.1,0.15,0.1,neutral,false
convai_agent_592,0.05,0.05,0.05,0.25,0.4,neutral,false
convai_agent_593,0.1,0.05,0.1,0.25,0.3,neutral,false
convai_agent_594,0.1,0.05,0.05,0.15,0.3,neutral,false
convai_agent_595,0.05,0.075,0.05,0.2,0.3,neutral,false
convai_agent_596,0.05,0.1,0.1,0.25,0.3,neutral,false
convai_agent_597,0.1,0.05,0.1,0.2,0.3,neutral,false
convai_agent_598,0.05,0.1,0.05,0.1,0.1,neutral,false
convai_agent_599,0.15,0.1,0.05,0.1,0.3,neutral,false
convai_agent_600,0.05,0.1,0.05,0.2,0.3,neutral,false
